source_mat_id,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orchid,tidal_stage,depth,samp_size,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_dur,samp_deposit_date,samp_store_loc,samp_store_temp,store_person,store_person_orchid,other_person,other_person_orchid,ship_date
EMO BON IUI EILAT WA 210829 0.2um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-29,IUIEilat1 Wa 210829,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,45.0,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2021-10-01
EMO BON IUI EILAT WA 210829 0.2um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-29,IUIEilat1 Wa 210829,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,45.0,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2021-10-01
EMO BON IUI EILAT WA 210829 0.2um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-29,IUIEilat1 Wa 210829,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 210829 0.2um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-29,IUIEilat1 Wa 210829,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 210829 3.0um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-29,IUIEilat1 Wa 210829,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,45.0,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2021-10-01
EMO BON IUI EILAT WA 210829 3.0um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-29,IUIEilat1 Wa 210829,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,45.0,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2021-10-01
EMO BON IUI EILAT WA 210829 3.0um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-29,IUIEilat1 Wa 210829,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 210829 3.0um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-29,IUIEilat1 Wa 210829,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 210829 0.2um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-29,IUIEilat1 Wa 210829,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,N,Hand pump,WaSOP 1,,,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 210829 3.0um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-29,IUIEilat1 Wa 210829,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3,,3.0,N,Hand pump,WaSOP 1,,,2021-08-29,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 211018 0.2um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-18,IUIEilat1 Wa 211018,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,45.0,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 211018 0.2um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-18,IUIEilat1 Wa 211018,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,45.0,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2022-01-24
EMO BON IUI EILAT WA 211018 0.2um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-18,IUIEilat1 Wa 211018,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,2021-10-18,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2022-01-24
EMO BON IUI EILAT WA 211018 0.2um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-18,IUIEilat1 Wa 211018,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,2021-10-18,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 211018 3.0um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-18,IUIEilat1 Wa 211018,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,45.0,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2022-01-24
EMO BON IUI EILAT WA 211018 3.0um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-18,IUIEilat1 Wa 211018,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,45.0,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2022-01-24
EMO BON IUI EILAT WA 211018 3.0um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-18,IUIEilat1 Wa 211018,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,2021-10-18,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 211018 3.0um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-18,IUIEilat1 Wa 211018,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,2021-10-18,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 211018 0.2um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-18,IUIEilat1 Wa 211018,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,N,Hand pump,WaSOP 1,,,2021-10-18,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 211018 3.0um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-10-18,IUIEilat1 Wa 211018,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3,,3.0,N,Hand pump,WaSOP 1,,,2021-10-18,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 211219 0.2um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-19,IUIEilat1 Wa 211219,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,2021-10-18,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2022-01-24
EMO BON IUI EILAT WA 211219 0.2um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-19,IUIEilat1 Wa 211219,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,2021-10-18,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2022-01-24
EMO BON IUI EILAT WA 211219 0.2um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-19,IUIEilat1 Wa 211219,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 211219 0.2um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-19,IUIEilat1 Wa 211219,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 211219 3.0um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-19,IUIEilat1 Wa 211219,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,45.0,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2022-01-24
EMO BON IUI EILAT WA 211219 3.0um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-19,IUIEilat1 Wa 211219,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,45.0,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2022-01-24
EMO BON IUI EILAT WA 211219 3.0um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-19,IUIEilat1 Wa 211219,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 211219 3.0um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-19,IUIEilat1 Wa 211219,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 211219 0.2um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-19,IUIEilat1 Wa 211219,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,N,Hand pump,WaSOP 1,,,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2022-01-24
EMO BON IUI EILAT WA 211219 3.0um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-19,IUIEilat1 Wa 211219,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3,,3.0,N,Hand pump,WaSOP 1,,,2021-12-19,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,2022-01-24
EMO BON IUI EILAT WA 220223 0.2um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-02-23,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220223 0.2um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-02-23,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220223 0.2um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-02-23,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220223 0.2um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-02-23,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220223 3.0um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-02-23,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220223 3.0um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-02-23,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220223 3.0um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-02-23,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220223 3.0um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-02-23,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220223 0.2um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-02-23,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,N,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220223 3.0um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-02-23,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3,,3.0,N,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220508 0.2um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-05-08,IUIEilat1 Wa 220508,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220508 0.2um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-05-08,IUIEilat1 Wa 220508,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220508 0.2um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-05-08,IUIEilat1 Wa 220508,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220508 0.2um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-05-08,IUIEilat1 Wa 220508,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220508 3.0um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-05-08,IUIEilat1 Wa 220508,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220508 3.0um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-05-08,IUIEilat1 Wa 220508,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220508 3.0um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-05-08,IUIEilat1 Wa 220508,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220508 3.0um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-05-08,IUIEilat1 Wa 220508,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220508 0.2um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-05-08,IUIEilat1 Wa 220508,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,N,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220508 3.0um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-05-08,IUIEilat1 Wa 220508,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3,,3.0,N,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220705 0.2um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-07-05,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220705 0.2um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-07-05,IUIEilat1 Wa 220705,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220705 0.2um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-07-05,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220705 0.2um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-07-05,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220705 3.0um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-07-05,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220705 3.0um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-07-05,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220705 3.0um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-07-05,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220705 3.0um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-07-05,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3-200,200.0,3.0,Y,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220705 0.2um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-07-05,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,0.2-3,3.0,0.2,N,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
EMO BON IUI EILAT WA 220705 3.0um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-07-05,IUIEilat1 Wa 220223,Gil Koplovitz,0000-0002-8436-9424,,2,10,1,3,,3.0,N,Hand pump,WaSOP 1,,,,Eppendorf F570 -80 freezer,-80,Gil Koplovitz,0000-0002-8436-9424,,,
